dataset;gene;soustype;typesurvie;pval_logRank;pval_Cox;FDR_logrank;FDR_Cox;HR;n;conclusion;poids
GSE21653;ATR;All-tumours;DFS;0,37;0,37;0,62;0,62;-0,2;248;Not Significative;0,49
GSE21653;ATR;Luminal-A;DFS;0,01;0,01;0,05;0,05;-1,2;85;Significative;0,49
GSE21653;ATR;Luminal-B;DFS;0,28;0,29;0,62;0,62;0,5;42;Not Significative;0,49
GSE21653;ATR;HER2-enriched;DFS;0,67;0,67;0,83;0,83;-0,3;22;Not Significative;0,49
GSE21653;ATR;Basal-like;DFS;0,83;0,83;0,83;0,83;0,1;74;Not Significative;0,49
GSE21653;ATRX;All-tumours;DFS;0,39;0,39;0,90;0,90;0,2;248;Not Significative;0,49
GSE21653;ATRX;Luminal-A;DFS;0,34;0,34;0,90;0,90;0,4;85;Not Significative;0,49
GSE21653;ATRX;Luminal-B;DFS;0,83;0,83;0,90;0,90;-0,1;42;Not Significative;0,49
GSE21653;ATRX;HER2-enriched;DFS;0,78;0,78;0,90;0,90;-0,2;22;Not Significative;0,49
GSE21653;ATRX;Basal-like;DFS;0,9;0,9;0,90;0,90;-0,1;74;Not Significative;0,49
GSE21653;PRDM1;All-tumours;DFS;0,95;0,95;0,95;0,95;0;248;Not Significative;0,49
GSE21653;PRDM1;Luminal-A;DFS;0,74;0,74;0,92;0,92;0,1;85;Not Significative;0,49
GSE21653;PRDM1;Luminal-B;DFS;0,25;0,26;0,80;0,80;0,5;42;Not Significative;0,49
GSE21653;PRDM1;HER2-enriched;DFS;0,63;0,63;0,92;0,92;0,4;22;Not Significative;0,49
GSE21653;PRDM1;Basal-like;DFS;0,32;0,32;0,80;0,80;0,4;74;Not Significative;0,49
GSE21653;ERC2-IT1;All-tumours;DFS;0,17;0,18;0,43;0,45;0,3;248;Not Significative;0,49
GSE21653;ERC2-IT1;Luminal-A;DFS;0,64;0,64;0,64;0,64;0,2;85;Not Significative;0,49
GSE21653;ERC2-IT1;Luminal-B;DFS;0,33;0,34;0,55;0,57;-0,4;42;Not Significative;0,49
GSE21653;ERC2-IT1;HER2-enriched;DFS;0,5;0,51;0,63;0,64;0,5;22;Not Significative;0,49
GSE21653;ERC2-IT1;Basal-like;DFS;0,14;0,14;0,43;0,45;0,7;74;Not Significative;0,49
GSE21653;CDC20;All-tumours;DFS;0;0;0,00;0,00;-0,7;248;Significative;0,49
GSE21653;CDC20;Luminal-A;DFS;0,05;0,06;0,13;0,15;-0,8;85;Not Significative;0,49
GSE21653;CDC20;Luminal-B;DFS;0,27;0,28;0,34;0,35;-0,5;42;Not Significative;0,49
GSE21653;CDC20;HER2-enriched;DFS;0,23;0,25;0,34;0,35;1;22;Not Significative;0,49
GSE21653;CDC20;Basal-like;DFS;0,65;0,65;0,65;0,65;0,2;74;Not Significative;0,49
GSE21653;CHD1;All-tumours;DFS;0,78;0,78;0,78;0,78;0,1;248;Not Significative;0,49
GSE21653;CHD1;Luminal-A;DFS;0,52;0,52;0,71;0,72;-0,3;85;Not Significative;0,49
GSE21653;CHD1;Luminal-B;DFS;0,15;0,16;0,71;0,72;0,7;42;Not Significative;0,49
GSE21653;CHD1;HER2-enriched;DFS;0,57;0,58;0,71;0,72;0,4;22;Not Significative;0,49
GSE21653;CHD1;Basal-like;DFS;0,33;0,33;0,71;0,72;-0,4;74;Not Significative;0,49
GSE21653;CHD2;All-tumours;DFS;0,31;0,31;0,48;0,48;0,2;248;Not Significative;0,49
GSE21653;CHD2;Luminal-A;DFS;0,28;0,28;0,48;0,48;0,4;85;Not Significative;0,49
GSE21653;CHD2;Luminal-B;DFS;0,47;0,47;0,48;0,48;0,3;42;Not Significative;0,49
GSE21653;CHD2;HER2-enriched;DFS;0,39;0,4;0,48;0,48;0,8;22;Not Significative;0,49
GSE21653;CHD2;Basal-like;DFS;0,48;0,48;0,48;0,48;0,3;74;Not Significative;0,49
GSE21653;CHD3;All-tumours;DFS;0,52;0,52;0,85;0,85;-0,1;248;Not Significative;0,49
GSE21653;CHD3;Luminal-A;DFS;0,26;0,26;0,65;0,65;0,5;85;Not Significative;0,49
GSE21653;CHD3;Luminal-B;DFS;0,85;0,85;0,85;0,85;-0,1;42;Not Significative;0,49
GSE21653;CHD3;HER2-enriched;DFS;0,02;0,05;0,10;0,25;-2,1;22;Significative;0,49
GSE21653;CHD3;Basal-like;DFS;0,73;0,73;0,85;0,85;-0,2;74;Not Significative;0,49
GSE21653;CHD4;All-tumours;DFS;0,68;0,68;0,78;0,78;0,1;248;Not Significative;0,49
GSE21653;CHD4;Luminal-A;DFS;0,42;0,42;0,78;0,78;0,3;85;Not Significative;0,49
GSE21653;CHD4;Luminal-B;DFS;0,11;0,12;0,55;0,60;-0,7;42;Not Significative;0,49
GSE21653;CHD4;HER2-enriched;DFS;0,66;0,66;0,78;0,78;-0,3;22;Not Significative;0,49
GSE21653;CHD4;Basal-like;DFS;0,78;0,78;0,78;0,78;0,1;74;Not Significative;0,49
GSE21653;LYST;All-tumours;DFS;0,29;0,29;0,72;0,72;0,2;248;Not Significative;0,49
GSE21653;LYST;Luminal-A;DFS;0,43;0,43;0,72;0,72;0,3;85;Not Significative;0,49
GSE21653;LYST;Luminal-B;DFS;0,16;0,16;0,72;0,72;-0,7;42;Not Significative;0,49
GSE21653;LYST;HER2-enriched;DFS;0,96;0,96;0,96;0,96;0;22;Not Significative;0,49
GSE21653;LYST;Basal-like;DFS;0,77;0,77;0,96;0,96;-0,1;74;Not Significative;0,49
GSE21653;ERCC8;All-tumours;DFS;0,43;0,43;0,70;0,70;-0,2;248;Not Significative;0,49
GSE21653;ERCC8;Luminal-A;DFS;0,64;0,64;0,70;0,70;-0,2;85;Not Significative;0,49
GSE21653;ERCC8;Luminal-B;DFS;0,7;0,7;0,70;0,70;0,2;42;Not Significative;0,49
GSE21653;ERCC8;HER2-enriched;DFS;0,26;0,28;0,65;0,70;0,9;22;Not Significative;0,49
GSE21653;ERCC8;Basal-like;DFS;0,22;0,23;0,65;0,70;-0,5;74;Not Significative;0,49
GSE21653;COPA;All-tumours;DFS;0,86;0,86;0,93;0,93;0;248;Not Significative;0,49
GSE21653;COPA;Luminal-A;DFS;0,48;0,48;0,80;0,80;0,3;85;Not Significative;0,49
GSE21653;COPA;Luminal-B;DFS;0,41;0,41;0,80;0,80;0,4;42;Not Significative;0,49
GSE21653;COPA;HER2-enriched;DFS;0,93;0,93;0,93;0,93;-0,1;22;Not Significative;0,49
GSE21653;COPA;Basal-like;DFS;0,17;0,18;0,80;0,80;-0,6;74;Not Significative;0,49
GSE21653;CREBBP;All-tumours;DFS;0,9;0,9;0,90;0,90;0;248;Not Significative;0,49
GSE21653;CREBBP;Luminal-A;DFS;0,25;0,25;0,63;0,63;0,5;85;Not Significative;0,49
GSE21653;CREBBP;Luminal-B;DFS;0,56;0,56;0,79;0,79;0,3;42;Not Significative;0,49
GSE21653;CREBBP;HER2-enriched;DFS;0,63;0,63;0,79;0,79;0,4;22;Not Significative;0,49
GSE21653;CREBBP;Basal-like;DFS;0,09;0,09;0,45;0,45;-0,8;74;Not Significative;0,49
GSE21653;CSTF1;All-tumours;DFS;0,56;0,56;0,70;0,70;0,1;248;Not Significative;0,49
GSE21653;CSTF1;Luminal-A;DFS;0,31;0,32;0,70;0,70;-0,4;85;Not Significative;0,49
GSE21653;CSTF1;Luminal-B;DFS;0,55;0,56;0,70;0,70;0,3;42;Not Significative;0,49
GSE21653;CSTF1;HER2-enriched;DFS;0,14;0,16;0,70;0,70;1,2;22;Not Significative;0,49
GSE21653;CSTF1;Basal-like;DFS;0,94;0,94;0,94;0,94;0;74;Not Significative;0,49
GSE21653;DDB2;All-tumours;DFS;0,98;0,98;0,98;0,98;0;248;Not Significative;0,49
GSE21653;DDB2;Luminal-A;DFS;0,2;0,2;0,33;0,33;-0,5;85;Not Significative;0,49
GSE21653;DDB2;Luminal-B;DFS;0,17;0,17;0,33;0,33;0,6;42;Not Significative;0,49
GSE21653;DDB2;HER2-enriched;DFS;0,12;0,16;0,33;0,33;1,5;22;Not Significative;0,49
GSE21653;DDB2;Basal-like;DFS;0,82;0,82;0,98;0,98;-0,1;74;Not Significative;0,49
GSE21653;DMXL1;All-tumours;DFS;0,07;0,07;0,35;0,35;0,4;248;Not Significative;0,49
GSE21653;DMXL1;Luminal-A;DFS;0,66;0,66;0,83;0,83;0,2;85;Not Significative;0,49
GSE21653;DMXL1;Luminal-B;DFS;0,17;0,17;0,43;0,43;0,6;42;Not Significative;0,49
GSE21653;DMXL1;HER2-enriched;DFS;0,39;0,4;0,65;0,67;0,7;22;Not Significative;0,49
GSE21653;DMXL1;Basal-like;DFS;0,93;0,93;0,93;0,93;0;74;Not Significative;0,49
GSE21653;DMWD;All-tumours;DFS;0,51;0,51;0,93;0,93;-0,1;248;Not Significative;0,49
GSE21653;DMWD;Luminal-A;DFS;0,65;0,65;0,93;0,93;0,2;85;Not Significative;0,49
GSE21653;DMWD;Luminal-B;DFS;0,21;0,22;0,93;0,93;-0,6;42;Not Significative;0,49
GSE21653;DMWD;HER2-enriched;DFS;0,93;0,93;0,93;0,93;0,1;22;Not Significative;0,49
GSE21653;DMWD;Basal-like;DFS;0,91;0,91;0,93;0,93;0;74;Not Significative;0,49
GSE21653;DNMT1;All-tumours;DFS;0,04;0,04;0,20;0,20;-0,5;248;Not Significative;0,49
GSE21653;DNMT1;Luminal-A;DFS;0,08;0,09;0,20;0,22;-0,7;85;Not Significative;0,49
GSE21653;DNMT1;Luminal-B;DFS;0,36;0,36;0,45;0,45;-0,4;42;Not Significative;0,49
GSE21653;DNMT1;HER2-enriched;DFS;0,66;0,66;0,66;0,66;0,3;22;Not Significative;0,49
GSE21653;DNMT1;Basal-like;DFS;0,3;0,3;0,45;0,45;-0,5;74;Not Significative;0,49
GSE21653;DNMT3A;All-tumours;DFS;0,01;0,01;0,05;0,05;-0,6;248;Significative;0,49
GSE21653;DNMT3A;Luminal-A;DFS;0,26;0,26;0,43;0,43;-0,5;85;Not Significative;0,49
GSE21653;DNMT3A;Luminal-B;DFS;0,06;0,06;0,15;0,15;-0,9;42;Not Significative;0,49
GSE21653;DNMT3A;HER2-enriched;DFS;0,47;0,48;0,59;0,60;0,6;22;Not Significative;0,49
GSE21653;DNMT3A;Basal-like;DFS;0,83;0,83;0,83;0,83;0,1;74;Not Significative;0,49
GSE21653;DNMT3B;All-tumours;DFS;0,11;0,11;0,33;0,35;-0,4;248;Not Significative;0,49
GSE21653;DNMT3B;Luminal-A;DFS;0,54;0,54;0,54;0,54;0,3;85;Not Significative;0,49
GSE21653;DNMT3B;Luminal-B;DFS;0,13;0,14;0,33;0,35;-0,7;42;Not Significative;0,49
GSE21653;DNMT3B;HER2-enriched;DFS;0,45;0,45;0,54;0,54;0,7;22;Not Significative;0,49
GSE21653;DNMT3B;Basal-like;DFS;0,45;0,46;0,54;0,54;0,3;74;Not Significative;0,49
GSE21653;EML1;All-tumours;DFS;0,55;0,55;0,71;0,72;-0,1;248;Not Significative;0,49
GSE21653;EML1;Luminal-A;DFS;0,57;0,58;0,71;0,72;-0,2;85;Not Significative;0,49
GSE21653;EML1;Luminal-B;DFS;0,24;0,25;0,70;0,72;0,5;42;Not Significative;0,49
GSE21653;EML1;HER2-enriched;DFS;0,28;0,3;0,70;0,72;-0,9;22;Not Significative;0,49
GSE21653;EML1;Basal-like;DFS;0,9;0,9;0,90;0,90;0,1;74;Not Significative;0,49
GSE21653;EP300;All-tumours;DFS;0,48;0,48;0,91;0,91;0,2;248;Not Significative;0,49
GSE21653;EP300;Luminal-A;DFS;0,77;0,77;0,91;0,91;0,1;85;Not Significative;0,49
GSE21653;EP300;Luminal-B;DFS;0,76;0,76;0,91;0,91;-0,1;42;Not Significative;0,49
GSE21653;EP300;HER2-enriched;DFS;0,31;0,32;0,91;0,91;0,8;22;Not Significative;0,49
GSE21653;EP300;Basal-like;DFS;0,91;0,91;0,91;0,91;0;74;Not Significative;0,49
GSE21653;MECOM;All-tumours;DFS;0,12;0,12;0,16;0,18;-0,4;248;Not Significative;0,49
GSE21653;MECOM;Luminal-A;DFS;0,13;0,14;0,16;0,18;-0,6;85;Not Significative;0,49
GSE21653;MECOM;Luminal-B;DFS;0,06;0,06;0,15;0,15;0,9;42;Not Significative;0,49
GSE21653;MECOM;HER2-enriched;DFS;0,58;0,58;0,58;0,58;-0,4;22;Not Significative;0,49
GSE21653;MECOM;Basal-like;DFS;0,06;0,06;0,15;0,15;-0,9;74;Not Significative;0,49
GSE21653;EZH1;All-tumours;DFS;0,17;0,17;0,43;0,43;0,3;248;Not Significative;0,49
GSE21653;EZH1;Luminal-A;DFS;0,49;0,49;0,82;0,82;-0,3;85;Not Significative;0,49
GSE21653;EZH1;Luminal-B;DFS;0,02;0,02;0,10;0,10;1,1;42;Significative;0,49
GSE21653;EZH1;HER2-enriched;DFS;0,99;0,99;0,99;0,99;0;22;Not Significative;0,49
GSE21653;EZH1;Basal-like;DFS;0,95;0,95;0,99;0,99;0;74;Not Significative;0,49
GSE21653;EZH2;All-tumours;DFS;0,03;0,03;0,05;0,08;-0,5;248;Significative;0,49
GSE21653;EZH2;Luminal-A;DFS;0,02;0,02;0,05;0,08;-1;85;Significative;0,49
GSE21653;EZH2;Luminal-B;DFS;0,07;0,07;0,09;0,09;-0,9;42;Significative;0,49
GSE21653;EZH2;HER2-enriched;DFS;0,02;0,05;0,05;0,08;2,1;22;Significative;0,49
GSE21653;EZH2;Basal-like;DFS;0,83;0,83;0,83;0,83;0,1;74;Not Significative;0,49
GSE21653;BPTF;All-tumours;DFS;0,23;0,23;0,60;0,65;0,3;248;Not Significative;0,49
GSE21653;BPTF;Luminal-A;DFS;0,53;0,53;0,66;0,66;0,3;85;Not Significative;0,49
GSE21653;BPTF;Luminal-B;DFS;0,48;0,48;0,66;0,66;-0,3;42;Not Significative;0,49
GSE21653;BPTF;HER2-enriched;DFS;0,24;0,26;0,60;0,65;-0,9;22;Not Significative;0,49
GSE21653;BPTF;Basal-like;DFS;0,99;1;0,99;1,00;0;74;Not Significative;0,49
GSE21653;FGD1;All-tumours;DFS;0,11;0,11;0,37;0,38;-0,4;248;Not Significative;0,49
GSE21653;FGD1;Luminal-A;DFS;0,2;0,2;0,37;0,38;-0,5;85;Not Significative;0,49
GSE21653;FGD1;Luminal-B;DFS;0,22;0,23;0,37;0,38;0,6;42;Not Significative;0,49
GSE21653;FGD1;HER2-enriched;DFS;0,8;0,8;0,99;0,99;-0,2;22;Not Significative;0,49
GSE21653;FGD1;Basal-like;DFS;0,99;0,99;0,99;0,99;0;74;Not Significative;0,49
GSE21653;GNB1;All-tumours;DFS;0,68;0,68;0,89;0,89;-0,1;248;Not Significative;0,49
GSE21653;GNB1;Luminal-A;DFS;0,28;0,28;0,89;0,89;-0,4;85;Not Significative;0,49
GSE21653;GNB1;Luminal-B;DFS;0,82;0,82;0,89;0,89;0,1;42;Not Significative;0,49
GSE21653;GNB1;HER2-enriched;DFS;0,44;0,45;0,89;0,89;0,6;22;Not Significative;0,49
GSE21653;GNB1;Basal-like;DFS;0,89;0,89;0,89;0,89;0,1;74;Not Significative;0,49
GSE21653;GNB2;All-tumours;DFS;0,03;0,03;0,08;0,15;-0,5;248;Significative;0,49
GSE21653;GNB2;Luminal-A;DFS;0,11;0,11;0,18;0,18;-0,7;85;Not Significative;0,49
GSE21653;GNB2;Luminal-B;DFS;0,65;0,65;0,81;0,81;-0,2;42;Not Significative;0,49
GSE21653;GNB2;HER2-enriched;DFS;0,03;0,06;0,08;0,15;-2,1;22;Significative;0,49
GSE21653;GNB2;Basal-like;DFS;0,98;0,98;0,98;0,98;0;74;Not Significative;0,49
GSE21653;GNB3;All-tumours;DFS;0,01;0,01;0,05;0,05;-0,6;248;Significative;0,49
GSE21653;GNB3;Luminal-A;DFS;0,4;0,4;0,50;0,50;-0,4;85;Not Significative;0,49
GSE21653;GNB3;Luminal-B;DFS;0,06;0,07;0,15;0,18;-0,9;42;Not Significative;0,49
GSE21653;GNB3;HER2-enriched;DFS;0,2;0,22;0,33;0,37;-1,1;22;Not Significative;0,49
GSE21653;GNB3;Basal-like;DFS;0,56;0,56;0,56;0,56;-0,3;74;Not Significative;0,49
GSE21653;MSH6;All-tumours;DFS;0,52;0,52;0,52;0,52;-0,1;248;Not Significative;0,49
GSE21653;MSH6;Luminal-A;DFS;0,52;0,52;0,52;0,52;-0,3;85;Not Significative;0,49
GSE21653;MSH6;Luminal-B;DFS;0,36;0,37;0,52;0,52;0,4;42;Not Significative;0,49
GSE21653;MSH6;HER2-enriched;DFS;0,39;0,4;0,52;0,52;0,7;22;Not Significative;0,49
GSE21653;MSH6;Basal-like;DFS;0,05;0,05;0,25;0,25;-0,9;74;Not Significative;0,49
GSE21653;GTF3C2;All-tumours;DFS;0,75;0,75;0,75;0,75;-0,1;248;Not Significative;0,49
GSE21653;GTF3C2;Luminal-A;DFS;0,33;0,33;0,41;0,41;0,4;85;Not Significative;0,49
GSE21653;GTF3C2;Luminal-B;DFS;0,28;0,28;0,41;0,41;-0,5;42;Not Significative;0,49
GSE21653;GTF3C2;HER2-enriched;DFS;0,24;0,26;0,41;0,41;1;22;Not Significative;0,49
GSE21653;GTF3C2;Basal-like;DFS;0,04;0,04;0,20;0,20;-0,9;74;Not Significative;0,49
GSE21653;HDGF;All-tumours;DFS;0,17;0,17;0,43;0,45;-0,3;248;Not Significative;0,49
GSE21653;HDGF;Luminal-A;DFS;0,9;0,9;0,90;0,90;0;85;Not Significative;0,49
GSE21653;HDGF;Luminal-B;DFS;0,53;0,54;0,87;0,87;-0,3;42;Not Significative;0,49
GSE21653;HDGF;HER2-enriched;DFS;0,14;0,18;0,43;0,45;1,5;22;Not Significative;0,49
GSE21653;HDGF;Basal-like;DFS;0,7;0,7;0,87;0,87;0,2;74;Not Significative;0,49
GSE21653;SP110;All-tumours;DFS;0,61;0,61;0,76;0,76;0,1;248;Not Significative;0,49
GSE21653;SP110;Luminal-A;DFS;0,25;0,25;0,63;0,63;-0,5;85;Not Significative;0,49
GSE21653;SP110;Luminal-B;DFS;0,52;0,52;0,76;0,76;0,3;42;Not Significative;0,49
GSE21653;SP110;HER2-enriched;DFS;0,79;0,79;0,79;0,79;-0,2;22;Not Significative;0,49
GSE21653;SP110;Basal-like;DFS;0,07;0,07;0,35;0,35;0,8;74;Not Significative;0,49
GSE21653;ING1;All-tumours;DFS;0,05;0,05;0,13;0,13;0,4;248;Not Significative;0,49
GSE21653;ING1;Luminal-A;DFS;0,17;0,17;0,28;0,28;0,6;85;Not Significative;0,49
GSE21653;ING1;Luminal-B;DFS;0,04;0,04;0,13;0,13;1;42;Not Significative;0,49
GSE21653;ING1;HER2-enriched;DFS;0,81;0,81;0,83;0,83;-0,2;22;Not Significative;0,49
GSE21653;ING1;Basal-like;DFS;0,83;0,83;0,83;0,83;0,1;74;Not Significative;0,49
GSE21653;ING2;All-tumours;DFS;0,97;0,97;0,99;0,99;0;248;Not Significative;0,49
GSE21653;ING2;Luminal-A;DFS;0,35;0,35;0,58;0,58;-0,4;85;Not Significative;0,49
GSE21653;ING2;Luminal-B;DFS;0,14;0,14;0,58;0,58;0,7;42;Not Significative;0,49
GSE21653;ING2;HER2-enriched;DFS;0,99;0,99;0,99;0,99;0;22;Not Significative;0,49
GSE21653;ING2;Basal-like;DFS;0,31;0,31;0,58;0,58;-0,5;74;Not Significative;0,49
GSE21653;KPNB1;All-tumours;DFS;0,33;0,33;0,73;0,73;-0,2;248;Not Significative;0,49
GSE21653;KPNB1;Luminal-A;DFS;0,73;0,73;0,73;0,73;-0,1;85;Not Significative;0,49
GSE21653;KPNB1;Luminal-B;DFS;0,49;0,49;0,73;0,73;-0,3;42;Not Significative;0,49
GSE21653;KPNB1;HER2-enriched;DFS;0,45;0,45;0,73;0,73;0,6;22;Not Significative;0,49
GSE21653;KPNB1;Basal-like;DFS;0,72;0,72;0,73;0,73;-0,2;74;Not Significative;0,49
GSE21653;IPO5;All-tumours;DFS;0,81;0,81;0,81;0,81;0,1;248;Not Significative;0,49
GSE21653;IPO5;Luminal-A;DFS;0,7;0,7;0,81;0,81;0,2;85;Not Significative;0,49
GSE21653;IPO5;Luminal-B;DFS;0,27;0,27;0,47;0,48;0,5;42;Not Significative;0,49
GSE21653;IPO5;HER2-enriched;DFS;0,28;0,29;0,47;0,48;0,8;22;Not Significative;0,49
GSE21653;IPO5;Basal-like;DFS;0,19;0,19;0,47;0,48;-0,6;74;Not Significative;0,49
GSE21653;LBR;All-tumours;DFS;0,54;0,54;0,65;0,65;-0,1;248;Not Significative;0,49
GSE21653;LBR;Luminal-A;DFS;0,39;0,39;0,65;0,65;-0,4;85;Not Significative;0,49
GSE21653;LBR;Luminal-B;DFS;0,65;0,65;0,65;0,65;-0,2;42;Not Significative;0,49
GSE21653;LBR;HER2-enriched;DFS;0,11;0,13;0,55;0,65;1,3;22;Not Significative;0,49
GSE21653;LBR;Basal-like;DFS;0,44;0,44;0,65;0,65;0,3;74;Not Significative;0,49
GSE21653;LLGL2;All-tumours;DFS;0,04;0,04;0,10;0,10;-0,5;248;Significative;0,49
GSE21653;LLGL2;Luminal-A;DFS;0,03;0,04;0,10;0,10;-0,9;85;Significative;0,49
GSE21653;LLGL2;Luminal-B;DFS;0,74;0,74;0,74;0,74;0,2;42;Not Significative;0,49
GSE21653;LLGL2;HER2-enriched;DFS;0,08;0,1;0,13;0,17;-1,4;22;Not Significative;0,49
GSE21653;LLGL2;Basal-like;DFS;0,7;0,7;0,74;0,74;0,2;74;Not Significative;0,49
GSE21653;LLGL1;All-tumours;DFS;0,01;0,01;0,05;0,05;-0,6;248;Significative;0,49
GSE21653;LLGL1;Luminal-A;DFS;0,03;0,04;0,08;0,10;-0,9;85;Significative;0,49
GSE21653;LLGL1;Luminal-B;DFS;0,6;0,6;0,60;0,60;-0,2;42;Not Significative;0,49
GSE21653;LLGL1;HER2-enriched;DFS;0,27;0,28;0,45;0,47;-0,9;22;Not Significative;0,49
GSE21653;LLGL1;Basal-like;DFS;0,46;0,47;0,58;0,59;-0,3;74;Not Significative;0,49
GSE21653;KMT2A;All-tumours;DFS;0,64;0,64;0,75;0,75;0,1;248;Not Significative;0,49
GSE21653;KMT2A;Luminal-A;DFS;0,74;0,74;0,75;0,75;0,1;85;Not Significative;0,49
GSE21653;KMT2A;Luminal-B;DFS;0,75;0,75;0,75;0,75;-0,1;42;Not Significative;0,49
GSE21653;KMT2A;HER2-enriched;DFS;0,42;0,42;0,75;0,75;-0,7;22;Not Significative;0,49
GSE21653;KMT2A;Basal-like;DFS;0,36;0,37;0,75;0,75;0,4;74;Not Significative;0,49
GSE21653;MLLT6;All-tumours;DFS;0,06;0,07;0,30;0,35;-0,4;248;Not Significative;0,49
GSE21653;MLLT6;Luminal-A;DFS;0,24;0,24;0,40;0,40;-0,5;85;Not Significative;0,49
GSE21653;MLLT6;Luminal-B;DFS;0,88;0,88;0,88;0,88;-0,1;42;Not Significative;0,49
GSE21653;MLLT6;HER2-enriched;DFS;0,16;0,18;0,40;0,40;-1,1;22;Not Significative;0,49
GSE21653;MLLT6;Basal-like;DFS;0,58;0,58;0,72;0,72;0,2;74;Not Significative;0,49
GSE21653;MOBP;All-tumours;DFS;0,11;0,11;0,27;0,27;0,4;248;Not Significative;0,49
GSE21653;MOBP;Luminal-A;DFS;0,52;0,52;0,52;0,53;0,3;85;Not Significative;0,49
GSE21653;MOBP;Luminal-B;DFS;0,3;0,31;0,50;0,52;-0,5;42;Not Significative;0,49
GSE21653;MOBP;HER2-enriched;DFS;0,52;0,53;0,52;0,53;-0,5;22;Not Significative;0,49
GSE21653;MOBP;Basal-like;DFS;0;0;0,00;0,00;1,6;74;Significative;0,49
GSE21653;ORC1;All-tumours;DFS;0,26;0,26;0,41;0,41;-0,3;248;Not Significative;0,49
GSE21653;ORC1;Luminal-A;DFS;0,96;0,96;0,96;0,96;0;85;Not Significative;0,49
GSE21653;ORC1;Luminal-B;DFS;0,23;0,24;0,41;0,41;-0,6;42;Not Significative;0,49
GSE21653;ORC1;HER2-enriched;DFS;0,13;0,15;0,41;0,41;1,2;22;Not Significative;0,49
GSE21653;ORC1;Basal-like;DFS;0,33;0,33;0,41;0,41;-0,4;74;Not Significative;0,49
GSE21653;PAFAH1B1;All-tumours;DFS;0,34;0,34;0,57;0,57;-0,2;248;Not Significative;0,49
GSE21653;PAFAH1B1;Luminal-A;DFS;0,81;0,81;0,81;0,81;0,1;85;Not Significative;0,49
GSE21653;PAFAH1B1;Luminal-B;DFS;0,21;0,22;0,55;0,57;0,6;42;Not Significative;0,49
GSE21653;PAFAH1B1;HER2-enriched;DFS;0,57;0,57;0,71;0,71;0,4;22;Not Significative;0,49
GSE21653;PAFAH1B1;Basal-like;DFS;0,22;0,23;0,55;0,57;-0,5;74;Not Significative;0,49
GSE21653;PEX7;All-tumours;DFS;0,79;0,79;0,79;0,79;-0,1;248;Not Significative;0,49
GSE21653;PEX7;Luminal-A;DFS;0,38;0,39;0,68;0,68;-0,4;85;Not Significative;0,49
GSE21653;PEX7;Luminal-B;DFS;0,32;0,33;0,68;0,68;0,5;42;Not Significative;0,49
GSE21653;PEX7;HER2-enriched;DFS;0,44;0,44;0,68;0,68;0,6;22;Not Significative;0,49
GSE21653;PEX7;Basal-like;DFS;0,54;0,54;0,68;0,68;-0,3;74;Not Significative;0,49
GSE21653;PHF1;All-tumours;DFS;0,46;0,46;0,50;0,51;0,2;248;Not Significative;0,49
