dataset;gene;soustype;typesurvie;pval_logRank;HR;n;FDR_logrank
GSE21653;PRDM1;HER2-enriched;DFS;0,63;0,4;22;0,92
GSE21653;PRDM1;Basal-like;DFS;0,32;0,4;74;0,80
GSE21653;ERC2-IT1;All-tumours;DFS;0,17;0,3;248;0,43
GSE21653;ERC2-IT1;Luminal-A;DFS;0,64;0,2;85;0,64
GSE21653;ERC2-IT1;Luminal-B;DFS;0,33;-0,4;42;0,55
GSE21653;ERC2-IT1;HER2-enriched;DFS;0,5;0,5;22;0,63
GSE21653;ERC2-IT1;Basal-like;DFS;0,14;0,7;74;0,43
GSE21653;CDC20;All-tumours;DFS;0;-0,7;248;0,00
GSE21653;CDC20;Luminal-A;DFS;0,05;-0,8;85;0,13
GSE21653;CDC20;Luminal-B;DFS;0,27;-0,5;42;0,34
GSE21653;CDC20;HER2-enriched;DFS;0,23;1;22;0,34
GSE21653;CDC20;Basal-like;DFS;0,65;0,2;74;0,65
GSE21653;CHD1;All-tumours;DFS;0,78;0,1;248;0,78
GSE21653;CHD1;Luminal-A;DFS;0,52;-0,3;85;0,71
GSE21653;CHD1;Luminal-B;DFS;0,15;0,7;42;0,71
GSE21653;CHD1;HER2-enriched;DFS;0,57;0,4;22;0,71
GSE21653;CHD1;Basal-like;DFS;0,33;-0,4;74;0,71
GSE21653;CHD2;All-tumours;DFS;0,31;0,2;248;0,48
GSE21653;CHD2;Luminal-A;DFS;0,28;0,4;85;0,48
GSE21653;CHD2;Luminal-B;DFS;0,47;0,3;42;0,48
GSE21653;CHD2;HER2-enriched;DFS;0,39;0,8;22;0,48
GSE21653;CHD2;Basal-like;DFS;0,48;0,3;74;0,48
GSE21653;CHD3;All-tumours;DFS;0,52;-0,1;248;0,85
GSE21653;CHD3;Luminal-A;DFS;0,26;0,5;85;0,65
GSE21653;CHD3;Luminal-B;DFS;0,85;-0,1;42;0,85
GSE21653;CHD3;HER2-enriched;DFS;0,02;-2,1;22;0,10
GSE21653;CHD3;Basal-like;DFS;0,73;-0,2;74;0,85
GSE21653;CHD4;All-tumours;DFS;0,68;0,1;248;0,78
GSE21653;CHD4;Luminal-A;DFS;0,42;0,3;85;0,78
GSE21653;CHD4;Luminal-B;DFS;0,11;-0,7;42;0,55
GSE21653;CHD4;HER2-enriched;DFS;0,66;-0,3;22;0,78
GSE21653;CHD4;Basal-like;DFS;0,78;0,1;74;0,78
GSE21653;LYST;All-tumours;DFS;0,29;0,2;248;0,72
GSE21653;LYST;Luminal-A;DFS;0,43;0,3;85;0,72
GSE21653;LYST;Luminal-B;DFS;0,16;-0,7;42;0,72
GSE21653;LYST;HER2-enriched;DFS;0,96;0;22;0,96
GSE21653;LYST;Basal-like;DFS;0,77;-0,1;74;0,96
GSE21653;ERCC8;All-tumours;DFS;0,43;-0,2;248;0,70
GSE21653;ERCC8;Luminal-A;DFS;0,64;-0,2;85;0,70
GSE21653;ERCC8;Luminal-B;DFS;0,7;0,2;42;0,70
GSE21653;ERCC8;HER2-enriched;DFS;0,26;0,9;22;0,65
GSE21653;ERCC8;Basal-like;DFS;0,22;-0,5;74;0,65
GSE21653;COPA;All-tumours;DFS;0,86;0;248;0,93
GSE21653;COPA;Luminal-A;DFS;0,48;0,3;85;0,80
GSE21653;COPA;Luminal-B;DFS;0,41;0,4;42;0,80
GSE21653;COPA;HER2-enriched;DFS;0,93;-0,1;22;0,93
GSE21653;COPA;Basal-like;DFS;0,17;-0,6;74;0,80
GSE21653;CREBBP;All-tumours;DFS;0,9;0;248;0,90
GSE21653;CREBBP;Luminal-A;DFS;0,25;0,5;85;0,63
GSE21653;CREBBP;Luminal-B;DFS;0,56;0,3;42;0,79
GSE21653;CREBBP;HER2-enriched;DFS;0,63;0,4;22;0,79
GSE21653;CREBBP;Basal-like;DFS;0,09;-0,8;74;0,45
GSE21653;CSTF1;All-tumours;DFS;0,56;0,1;248;0,70
GSE21653;CSTF1;Luminal-A;DFS;0,31;-0,4;85;0,70
GSE21653;CSTF1;Luminal-B;DFS;0,55;0,3;42;0,70
GSE21653;CSTF1;HER2-enriched;DFS;0,14;1,2;22;0,70
GSE21653;CSTF1;Basal-like;DFS;0,94;0;74;0,94
GSE21653;DDB2;All-tumours;DFS;0,98;0;248;0,98
GSE21653;DDB2;Luminal-A;DFS;0,2;-0,5;85;0,33
GSE21653;DDB2;Luminal-B;DFS;0,17;0,6;42;0,33
GSE21653;DDB2;HER2-enriched;DFS;0,12;1,5;22;0,33
GSE21653;DDB2;Basal-like;DFS;0,82;-0,1;74;0,98
GSE21653;DMXL1;All-tumours;DFS;0,07;0,4;248;0,35
GSE21653;DMXL1;Luminal-A;DFS;0,66;0,2;85;0,83
GSE21653;DMXL1;Luminal-B;DFS;0,17;0,6;42;0,43
GSE21653;DMXL1;HER2-enriched;DFS;0,39;0,7;22;0,65
GSE21653;DMXL1;Basal-like;DFS;0,93;0;74;0,93
GSE21653;DMWD;All-tumours;DFS;0,51;-0,1;248;0,93
GSE21653;DMWD;Luminal-A;DFS;0,65;0,2;85;0,93
GSE21653;DMWD;Luminal-B;DFS;0,21;-0,6;42;0,93
GSE21653;DMWD;HER2-enriched;DFS;0,93;0,1;22;0,93
GSE21653;DMWD;Basal-like;DFS;0,91;0;74;0,93
GSE21653;DNMT1;All-tumours;DFS;0,04;-0,5;248;0,20
GSE21653;DNMT1;Luminal-A;DFS;0,08;-0,7;85;0,20
GSE21653;DNMT1;Luminal-B;DFS;0,36;-0,4;42;0,45
GSE21653;DNMT1;HER2-enriched;DFS;0,66;0,3;22;0,66
GSE21653;DNMT1;Basal-like;DFS;0,3;-0,5;74;0,45
GSE21653;DNMT3A;All-tumours;DFS;0,01;-0,6;248;0,05
GSE21653;DNMT3A;Luminal-A;DFS;0,26;-0,5;85;0,43
GSE21653;DNMT3A;Luminal-B;DFS;0,06;-0,9;42;0,15
GSE21653;DNMT3A;HER2-enriched;DFS;0,47;0,6;22;0,59
GSE21653;DNMT3A;Basal-like;DFS;0,83;0,1;74;0,83
GSE21653;DNMT3B;All-tumours;DFS;0,11;-0,4;248;0,33
GSE21653;DNMT3B;Luminal-A;DFS;0,54;0,3;85;0,54
GSE21653;DNMT3B;Luminal-B;DFS;0,13;-0,7;42;0,33
GSE21653;DNMT3B;HER2-enriched;DFS;0,45;0,7;22;0,54
GSE21653;DNMT3B;Basal-like;DFS;0,45;0,3;74;0,54
GSE21653;EML1;All-tumours;DFS;0,55;-0,1;248;0,71
GSE21653;EML1;Luminal-A;DFS;0,57;-0,2;85;0,71
GSE21653;EML1;Luminal-B;DFS;0,24;0,5;42;0,70
GSE21653;EML1;HER2-enriched;DFS;0,28;-0,9;22;0,70
GSE21653;EML1;Basal-like;DFS;0,9;0,1;74;0,90
GSE21653;EP300;All-tumours;DFS;0,48;0,2;248;0,91
GSE21653;EP300;Luminal-A;DFS;0,77;0,1;85;0,91
GSE21653;EP300;Luminal-B;DFS;0,76;-0,1;42;0,91
GSE21653;EP300;HER2-enriched;DFS;0,31;0,8;22;0,91
GSE21653;EP300;Basal-like;DFS;0,91;0;74;0,91
GSE21653;MECOM;All-tumours;DFS;0,12;-0,4;248;0,16
GSE21653;MECOM;Luminal-A;DFS;0,13;-0,6;85;0,16
GSE21653;MECOM;Luminal-B;DFS;0,06;0,9;42;0,15
GSE21653;MECOM;HER2-enriched;DFS;0,58;-0,4;22;0,58
GSE21653;MECOM;Basal-like;DFS;0,06;-0,9;74;0,15
GSE21653;EZH1;All-tumours;DFS;0,17;0,3;248;0,43
GSE21653;EZH1;Luminal-A;DFS;0,49;-0,3;85;0,82
GSE21653;EZH1;Luminal-B;DFS;0,02;1,1;42;0,10
GSE21653;EZH1;HER2-enriched;DFS;0,99;0;22;0,99
GSE21653;EZH1;Basal-like;DFS;0,95;0;74;0,99
GSE21653;EZH2;All-tumours;DFS;0,03;-0,5;248;0,05
GSE21653;EZH2;Luminal-A;DFS;0,02;-1;85;0,05
GSE21653;EZH2;Luminal-B;DFS;0,07;-0,9;42;0,09
GSE21653;EZH2;HER2-enriched;DFS;0,02;2,1;22;0,05
GSE21653;EZH2;Basal-like;DFS;0,83;0,1;74;0,83
GSE21653;BPTF;All-tumours;DFS;0,23;0,3;248;0,60
GSE21653;BPTF;Luminal-A;DFS;0,53;0,3;85;0,66
GSE21653;BPTF;Luminal-B;DFS;0,48;-0,3;42;0,66
GSE21653;BPTF;HER2-enriched;DFS;0,24;-0,9;22;0,60
GSE21653;BPTF;Basal-like;DFS;0,99;0;74;0,99
GSE21653;FGD1;All-tumours;DFS;0,11;-0,4;248;0,37
GSE21653;FGD1;Luminal-A;DFS;0,2;-0,5;85;0,37
GSE21653;FGD1;Luminal-B;DFS;0,22;0,6;42;0,37
GSE21653;FGD1;HER2-enriched;DFS;0,8;-0,2;22;0,99
GSE21653;FGD1;Basal-like;DFS;0,99;0;74;0,99
GSE21653;GNB1;All-tumours;DFS;0,68;-0,1;248;0,89
GSE21653;GNB1;Luminal-A;DFS;0,28;-0,4;85;0,89
GSE21653;GNB1;Luminal-B;DFS;0,82;0,1;42;0,89
GSE21653;GNB1;HER2-enriched;DFS;0,44;0,6;22;0,89
GSE21653;GNB1;Basal-like;DFS;0,89;0,1;74;0,89
GSE21653;GNB2;All-tumours;DFS;0,03;-0,5;248;0,08
GSE21653;GNB2;Luminal-A;DFS;0,11;-0,7;85;0,18
GSE21653;GNB2;Luminal-B;DFS;0,65;-0,2;42;0,81
GSE21653;GNB2;HER2-enriched;DFS;0,03;-2,1;22;0,08
GSE21653;GNB2;Basal-like;DFS;0,98;0;74;0,98
GSE21653;GNB3;All-tumours;DFS;0,01;-0,6;248;0,05
GSE21653;GNB3;Luminal-A;DFS;0,4;-0,4;85;0,50
GSE21653;GNB3;Luminal-B;DFS;0,06;-0,9;42;0,15
GSE21653;GNB3;HER2-enriched;DFS;0,2;-1,1;22;0,33
GSE21653;GNB3;Basal-like;DFS;0,56;-0,3;74;0,56
GSE21653;MSH6;All-tumours;DFS;0,52;-0,1;248;0,52
GSE21653;MSH6;Luminal-A;DFS;0,52;-0,3;85;0,52
GSE21653;MSH6;Luminal-B;DFS;0,36;0,4;42;0,52
GSE21653;MSH6;HER2-enriched;DFS;0,39;0,7;22;0,52
GSE21653;MSH6;Basal-like;DFS;0,05;-0,9;74;0,25
GSE21653;GTF3C2;All-tumours;DFS;0,75;-0,1;248;0,75
GSE21653;GTF3C2;Luminal-A;DFS;0,33;0,4;85;0,41
GSE21653;GTF3C2;Luminal-B;DFS;0,28;-0,5;42;0,41
GSE21653;GTF3C2;HER2-enriched;DFS;0,24;1;22;0,41
GSE21653;GTF3C2;Basal-like;DFS;0,04;-0,9;74;0,20
GSE21653;HDGF;All-tumours;DFS;0,17;-0,3;248;0,43
GSE21653;HDGF;Luminal-A;DFS;0,9;0;85;0,90
GSE21653;HDGF;Luminal-B;DFS;0,53;-0,3;42;0,87
GSE21653;HDGF;HER2-enriched;DFS;0,14;1,5;22;0,43
GSE21653;HDGF;Basal-like;DFS;0,7;0,2;74;0,87
GSE21653;SP110;All-tumours;DFS;0,61;0,1;248;0,76
GSE21653;SP110;Luminal-A;DFS;0,25;-0,5;85;0,63
GSE21653;SP110;Luminal-B;DFS;0,52;0,3;42;0,76
GSE21653;SP110;HER2-enriched;DFS;0,79;-0,2;22;0,79
GSE21653;SP110;Basal-like;DFS;0,07;0,8;74;0,35
GSE21653;ING1;All-tumours;DFS;0,05;0,4;248;0,13
GSE21653;ING1;Luminal-A;DFS;0,17;0,6;85;0,28
GSE21653;ING1;Luminal-B;DFS;0,04;1;42;0,13
GSE21653;ING1;HER2-enriched;DFS;0,81;-0,2;22;0,83
GSE21653;ING1;Basal-like;DFS;0,83;0,1;74;0,83
GSE21653;ING2;All-tumours;DFS;0,97;0;248;0,99
GSE21653;ING2;Luminal-A;DFS;0,35;-0,4;85;0,58
GSE21653;ING2;Luminal-B;DFS;0,14;0,7;42;0,58
GSE21653;ING2;HER2-enriched;DFS;0,99;0;22;0,99
GSE21653;ING2;Basal-like;DFS;0,31;-0,5;74;0,58
GSE21653;KPNB1;All-tumours;DFS;0,33;-0,2;248;0,73
GSE21653;KPNB1;Luminal-A;DFS;0,73;-0,1;85;0,73
GSE21653;KPNB1;Luminal-B;DFS;0,49;-0,3;42;0,73
GSE21653;KPNB1;HER2-enriched;DFS;0,45;0,6;22;0,73
GSE21653;KPNB1;Basal-like;DFS;0,72;-0,2;74;0,73
GSE21653;IPO5;All-tumours;DFS;0,81;0,1;248;0,81
GSE21653;IPO5;Luminal-A;DFS;0,7;0,2;85;0,81
GSE21653;IPO5;Luminal-B;DFS;0,27;0,5;42;0,47
GSE21653;IPO5;HER2-enriched;DFS;0,28;0,8;22;0,47
GSE21653;IPO5;Basal-like;DFS;0,19;-0,6;74;0,47
GSE21653;LBR;All-tumours;DFS;0,54;-0,1;248;0,65
GSE21653;LBR;Luminal-A;DFS;0,39;-0,4;85;0,65
GSE21653;LBR;Luminal-B;DFS;0,65;-0,2;42;0,65
GSE21653;LBR;HER2-enriched;DFS;0,11;1,3;22;0,55
GSE21653;LBR;Basal-like;DFS;0,44;0,3;74;0,65
GSE21653;LLGL2;All-tumours;DFS;0,04;-0,5;248;0,10
GSE21653;LLGL2;Luminal-A;DFS;0,03;-0,9;85;0,10
GSE21653;LLGL2;Luminal-B;DFS;0,74;0,2;42;0,74
GSE21653;LLGL2;HER2-enriched;DFS;0,08;-1,4;22;0,13
GSE21653;LLGL2;Basal-like;DFS;0,7;0,2;74;0,74
GSE21653;LLGL1;All-tumours;DFS;0,01;-0,6;248;0,05
GSE21653;LLGL1;Luminal-A;DFS;0,03;-0,9;85;0,08
GSE21653;LLGL1;Luminal-B;DFS;0,6;-0,2;42;0,60
GSE21653;LLGL1;HER2-enriched;DFS;0,27;-0,9;22;0,45
GSE21653;LLGL1;Basal-like;DFS;0,46;-0,3;74;0,58
GSE21653;KMT2A;All-tumours;DFS;0,64;0,1;248;0,75
GSE21653;KMT2A;Luminal-A;DFS;0,74;0,1;85;0,75
GSE21653;KMT2A;Luminal-B;DFS;0,75;-0,1;42;0,75
GSE21653;KMT2A;HER2-enriched;DFS;0,42;-0,7;22;0,75
GSE21653;KMT2A;Basal-like;DFS;0,36;0,4;74;0,75
GSE21653;MLLT6;All-tumours;DFS;0,06;-0,4;248;0,30
GSE21653;MLLT6;Luminal-A;DFS;0,24;-0,5;85;0,40
GSE21653;MLLT6;Luminal-B;DFS;0,88;-0,1;42;0,88
GSE21653;MLLT6;HER2-enriched;DFS;0,16;-1,1;22;0,40
GSE21653;MLLT6;Basal-like;DFS;0,58;0,2;74;0,72
GSE21653;MOBP;All-tumours;DFS;0,11;0,4;248;0,27
GSE21653;MOBP;Luminal-A;DFS;0,52;0,3;85;0,52
GSE21653;MOBP;Luminal-B;DFS;0,3;-0,5;42;0,50
GSE21653;MOBP;HER2-enriched;DFS;0,52;-0,5;22;0,52
GSE21653;MOBP;Basal-like;DFS;0;1,6;74;0,00
GSE21653;ORC1;All-tumours;DFS;0,26;-0,3;248;0,41
GSE21653;ORC1;Luminal-A;DFS;0,96;0;85;0,96
GSE21653;ORC1;Luminal-B;DFS;0,23;-0,6;42;0,41
GSE21653;ORC1;HER2-enriched;DFS;0,13;1,2;22;0,41
GSE21653;ORC1;Basal-like;DFS;0,33;-0,4;74;0,41
GSE21653;PAFAH1B1;All-tumours;DFS;0,34;-0,2;248;0,57
GSE21653;PAFAH1B1;Luminal-A;DFS;0,81;0,1;85;0,81
GSE21653;PAFAH1B1;Luminal-B;DFS;0,21;0,6;42;0,55
GSE21653;PAFAH1B1;HER2-enriched;DFS;0,57;0,4;22;0,71
GSE21653;PAFAH1B1;Basal-like;DFS;0,22;-0,5;74;0,55
GSE21653;PEX7;All-tumours;DFS;0,79;-0,1;248;0,79
GSE21653;PEX7;Luminal-A;DFS;0,38;-0,4;85;0,68
GSE21653;PEX7;Luminal-B;DFS;0,32;0,5;42;0,68
GSE21653;PEX7;HER2-enriched;DFS;0,44;0,6;22;0,68
GSE21653;PEX7;Basal-like;DFS;0,54;-0,3;74;0,68
GSE21653;PHF1;All-tumours;DFS;0,46;0,2;248;0,50
GSE21653;PHF1;Luminal-A;DFS;0,5;-0,3;85;0,50
GSE21653;PHF1;Luminal-B;DFS;0,1;0,8;42;0,42
GSE21653;PHF1;HER2-enriched;DFS;0,19;-1,1;22;0,42
GSE21653;PHF1;Basal-like;DFS;0,25;0,5;74;0,42
GSE21653;PLRG1;All-tumours;DFS;0,45;0,2;248;0,56
GSE21653;PLRG1;Luminal-A;DFS;0,91;0;85;0,91
GSE21653;PLRG1;Luminal-B;DFS;0,35;0,4;42;0,56
GSE21653;PLRG1;HER2-enriched;DFS;0,26;0,9;22;0,56
GSE21653;PLRG1;Basal-like;DFS;0,28;-0,5;74;0,56
GSE21653;PPP2R1A;All-tumours;DFS;0,15;-0,3;248;0,24
GSE21653;PPP2R1A;Luminal-A;DFS;0,19;-0,5;85;0,24
GSE21653;PPP2R1A;Luminal-B;DFS;0,04;1;42;0,20
GSE21653;PPP2R1A;HER2-enriched;DFS;0,6;0,4;22;0,60
GSE21653;PPP2R1A;Basal-like;DFS;0,09;-0,8;74;0,22
GSE21653;PPP2R1B;All-tumours;DFS;0,82;0,1;248;0,98
GSE21653;PPP2R1B;Luminal-A;DFS;0,35;-0,4;85;0,98
GSE21653;PPP2R1B;Luminal-B;DFS;0,44;0,4;42;0,98
GSE21653;PPP2R1B;HER2-enriched;DFS;0,65;0,3;22;0,98
GSE21653;PPP2R1B;Basal-like;DFS;0,98;0;74;0,98
GSE21653;PPP2R2B;All-tumours;DFS;0,4;0,2;248;0,59
GSE21653;PPP2R2B;Luminal-A;DFS;0,34;-0,4;85;0,59
GSE21653;PPP2R2B;Luminal-B;DFS;0,71;-0,2;42;0,71
GSE21653;PPP2R2B;HER2-enriched;DFS;0,47;0,6;22;0,59
GSE21653;PPP2R2B;Basal-like;DFS;0,05;0,9;74;0,25
GSE21653;RAG2;All-tumours;DFS;0,99;0;248;0,99
GSE21653;RAG2;Luminal-A;DFS;0,58;-0,2;85;0,97
GSE21653;RAG2;Luminal-B;DFS;0,94;0;42;0,99
GSE21653;RAG2;HER2-enriched;DFS;0,07;-1,8;22;0,35
GSE21653;RAG2;Basal-like;DFS;0,16;0,6;74;0,40
GSE21653;ARID4A;All-tumours;DFS;0,22;0,3;248;0,55
GSE21653;ARID4A;Luminal-A;DFS;0,45;-0,3;85;0,72
GSE21653;ARID4A;Luminal-B;DFS;0,98;0;42;0,98
GSE21653;ARID4A;HER2-enriched;DFS;0,58;0,4;22;0,72
GSE21653;ARID4A;Basal-like;DFS;0,16;-0,6;74;0,55
GSE21653;RBBP4;All-tumours;DFS;0,36;0,2;248;0,60
GSE21653;RBBP4;Luminal-A;DFS;0,23;0,5;85;0,58
GSE21653;RBBP4;Luminal-B;DFS;0,1;-0,8;42;0,50
GSE21653;RBBP4;HER2-enriched;DFS;0,92;0,1;22;0,92
GSE21653;RBBP4;Basal-like;DFS;0,71;-0,2;74;0,89
GSE21653;RBBP5;All-tumours;DFS;0,89;0;248;0,89
GSE21653;RBBP5;Luminal-A;DFS;0,42;0,3;85;0,70
GSE21653;RBBP5;Luminal-B;DFS;0,76;0,1;42;0,89
GSE21653;RBBP5;HER2-enriched;DFS;0,04;1,6;22;0,10
GSE21653;RBBP5;Basal-like;DFS;0,03;-1;74;0,10
GSE21653;RBBP7;All-tumours;DFS;0,65;0,1;248;0,73
GSE21653;RBBP7;Luminal-A;DFS;0,73;0,1;85;0,73
GSE21653;RBBP7;Luminal-B;DFS;0,07;0,9;42;0,27
GSE21653;RBBP7;HER2-enriched;DFS;0,11;1,3;22;0,27
GSE21653;RBBP7;Basal-like;DFS;0,4;-0,4;74;0,67
GSE21653;DPF2;All-tumours;DFS;0,53;-0,1;248;0,74
GSE21653;DPF2;Luminal-A;DFS;0,04;-0,9;85;0,20
GSE21653;DPF2;Luminal-B;DFS;0,83;0,1;42;0,83
GSE21653;DPF2;HER2-enriched;DFS;0,09;1,4;22;0,22
GSE21653;DPF2;Basal-like;DFS;0,59;0,2;74;0,74
GSE21653;SEC13;All-tumours;DFS;0,97;0;248;0,97
GSE21653;SEC13;Luminal-A;DFS;0,17;-0,6;85;0,28
GSE21653;SEC13;Luminal-B;DFS;0;1,5;42;0,00
GSE21653;SEC13;HER2-enriched;DFS;0,08;-1,4;22;0,20
GSE21653;SEC13;Basal-like;DFS;0,28;0,5;74;0,35
GSE21653;SETMAR;All-tumours;DFS;0,49;0,2;248;0,61
GSE21653;SETMAR;Luminal-A;DFS;0,3;0,4;85;0,61
GSE21653;SETMAR;Luminal-B;DFS;0,51;-0,3;42;0,61
GSE21653;SETMAR;HER2-enriched;DFS;0,61;-0,4;22;0,61
GSE21653;SETMAR;Basal-like;DFS;0,58;0,2;74;0,61
GSE21653;FBXW4;All-tumours;DFS;0,07;0,4;248;0,18
GSE21653;FBXW4;Luminal-A;DFS;0,55;0,2;85;0,69
GSE21653;FBXW4;Luminal-B;DFS;0,03;1;42;0,15
GSE21653;FBXW4;HER2-enriched;DFS;0,69;0,3;22;0,69
GSE21653;FBXW4;Basal-like;DFS;0,63;0,2;74;0,69
GSE21653;SMARCC1;All-tumours;DFS;0,84;0;248;0,84
GSE21653;SMARCC1;Luminal-A;DFS;0,19;0,5;85;0,48
GSE21653;SMARCC1;Luminal-B;DFS;0,29;-0,5;42;0,48
GSE21653;SMARCC1;HER2-enriched;DFS;0,38;0,7;22;0,48
GSE21653;SMARCC1;Basal-like;DFS;0,24;-0,5;74;0,48
GSE21653;SMARCC2;All-tumours;DFS;0,78;-0,1;248;0,78
GSE21653;SMARCC2;Luminal-A;DFS;0,73;0,1;85;0,78
GSE21653;SMARCC2;Luminal-B;DFS;0,1;-0,8;42;0,50
GSE21653;SMARCC2;HER2-enriched;DFS;0,65;0,4;22;0,78
GSE21653;SMARCC2;Basal-like;DFS;0,67;-0,2;74;0,78
GSE21653;SMN2;All-tumours;DFS;0,13;-0,4;248;0,28
GSE21653;SMN2;Luminal-A;DFS;0,17;-0,6;85;0,28
GSE21653;SMN2;Luminal-B;DFS;0,74;0,2;42;0,74
GSE21653;SMN2;HER2-enriched;DFS;0,32;-0,8;22;0,40
GSE21653;SMN2;Basal-like;DFS;0,01;-1,3;74;0,05
GSE21653;STRN;All-tumours;DFS;0,91;0;248;0,91
GSE21653;STRN;Luminal-A;DFS;0,89;0,1;85;0,91
GSE21653;STRN;Luminal-B;DFS;0,25;0,5;42;0,42
GSE21653;STRN;HER2-enriched;DFS;0,05;1,8;22;0,25
GSE21653;STRN;Basal-like;DFS;0,12;-0,7;74;0,30
GSE21653;SUV39H1;All-tumours;DFS;0,13;-0,3;248;0,25
GSE21653;SUV39H1;Luminal-A;DFS;0,15;-0,6;85;0,25
GSE21653;SUV39H1;Luminal-B;DFS;0,13;-0,7;42;0,25
GSE21653;SUV39H1;HER2-enriched;DFS;0,33;0,8;22;0,41
GSE21653;SUV39H1;Basal-like;DFS;0,81;-0,1;74;0,81
GSE21653;TAF5;All-tumours;DFS;0,51;-0,1;248;0,65
GSE21653;TAF5;Luminal-A;DFS;0,65;-0,2;85;0,65
GSE21653;TAF5;Luminal-B;DFS;0,6;-0,2;42;0,65
GSE21653;TAF5;HER2-enriched;DFS;0,14;1,2;22;0,65
GSE21653;TAF5;Basal-like;DFS;0,46;0,3;74;0,65
GSE21653;TBL1X;All-tumours;DFS;0,49;0,2;248;0,74
GSE21653;TBL1X;Luminal-A;DFS;0,65;0,2;85;0,74
GSE21653;TBL1X;Luminal-B;DFS;0,66;-0,2;42;0,74
GSE21653;TBL1X;HER2-enriched;DFS;0,74;-0,3;22;0,74
GSE21653;TBL1X;Basal-like;DFS;0,62;0,2;74;0,74
GSE21653;TCF19;All-tumours;DFS;0,1;-0,4;248;0,50
GSE21653;TCF19;Luminal-A;DFS;0,68;-0,2;85;0,71
GSE21653;TCF19;Luminal-B;DFS;0,71;-0,2;42;0,71
GSE21653;TCF19;HER2-enriched;DFS;0,25;0,9;22;0,63
GSE21653;TCF19;Basal-like;DFS;0,52;-0,3;74;0,71
GSE21653;TCF20;All-tumours;DFS;0,7;-0,1;248;0,70
GSE21653;TCF20;Luminal-A;DFS;0,11;-0,7;85;0,32
GSE21653;TCF20;Luminal-B;DFS;0,56;-0,3;42;0,70
GSE21653;TCF20;HER2-enriched;DFS;0,19;1,1;22;0,32
GSE21653;TCF20;Basal-like;DFS;0,19;0,6;74;0,32
GSE21653;TEP1;All-tumours;DFS;0,85;0;248;0,88
GSE21653;TEP1;Luminal-A;DFS;0,88;0,1;85;0,88
GSE21653;TEP1;Luminal-B;DFS;0,2;-0,6;42;0,88
GSE21653;TEP1;HER2-enriched;DFS;0,86;-0,1;22;0,88
GSE21653;TEP1;Basal-like;DFS;0,77;-0,1;74;0,88
GSE21653;TLE1;All-tumours;DFS;0,18;-0,3;248;0,75
GSE21653;TLE1;Luminal-A;DFS;0,51;-0,3;85;0,80
GSE21653;TLE1;Luminal-B;DFS;0,3;0,5;42;0,75
GSE21653;TLE1;HER2-enriched;DFS;0,93;-0,1;22;0,93
GSE21653;TLE1;Basal-like;DFS;0,64;0,2;74;0,80
GSE21653;TLE2;All-tumours;DFS;0,35;0,2;248;0,63
